state,egrid_subregion,year,variable,value,scenario
AK,AKGD,2022,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2022,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2022,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2022,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2022,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2023,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2023,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2023,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2023,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2023,grid_kgCO2EpkWh_MC,0.500857751973147,Mid Case - No New Policy
AK,AKGD,2024,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2024,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2024,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2024,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2024,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2025,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2025,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2025,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2025,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2025,grid_kgCO2EpkWh_MC,0.42444927841908475,Mid Case - No New Policy
AK,AKGD,2026,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2026,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2026,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2026,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2026,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2027,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
AK,AKGD,2027,grid_kgCO2EpkWh_MC,0.4259066445935128,Mid Case - No New Policy
